"state","race","type","all_workers_n","artists_n","artists_share","location_quotient"
"Minnesota","Other","Architects",83065,50,0.000601938241136459,0.694960850862855
"Mississippi","Other","Architects",17430,0,NA,NA
"Missouri","Other","Architects",70070,25,0.000356786071071785,0.411923241593571
"Montana","Other","Architects",37130,0,NA,NA
"Nebraska","Other","Architects",24240,NA,NA,NA
"Nevada","Other","Architects",69460,0,NA,NA
"New Hampshire","Other","Architects",12270,0,NA,NA
"New Jersey","Other","Architects",85410,105,0.00122936424306287,1.4193483018562
"New Mexico","Other","Architects",91840,35,0.00038109756097561,0.43999179174484
"New York","Other","Architects",234265,440,0.00187821484216592,2.16847127431295
"North Carolina","Other","Architects",145630,30,0.000206001510677745,0.237836667212483
"North Dakota","Other","Architects",23305,0,NA,NA
"Ohio","Other","Architects",121180,80,0.000660174946360786,0.762197366917618
"Oklahoma","Other","Architects",242885,85,0.000349959857545752,0.404042115531092
"Oregon","Other","Architects",93460,95,0.00101647763749197,1.17356252777824
"Pennsylvania","Other","Architects",104810,90,0.000858696689247209,0.991398354531644
"Rhode Island","Other","Architects",16140,55,0.00340768277571251,3.93430082928224
"South Carolina","Other","Architects",46335,NA,NA,NA
"South Dakota","Other","Architects",32695,0,NA,NA
"Tennessee","Other","Architects",60575,NA,NA,NA
"Texas","Other","Architects",261190,275,0.0010528733871894,1.21558282064044
"Utah","Other","Architects",57995,NA,NA,NA
"Vermont","Other","Architects",5900,0,NA,NA
"Virginia","Other","Architects",128845,95,0.000737320035701812,0.851264339680654
"Washington","Other","Architects",214925,325,0.00151215540304757,1.74584157264162
"West Virginia","Other","Architects",10700,0,NA,NA
"Wisconsin","Other","Architects",66920,NA,NA,NA
"Wyoming","Other","Architects",10830,NA,NA,NA
"Puerto Rico","Other","Architects",2275,0,NA,NA
"Alabama","Hispanic","Landscape Architects",88165,0,NA,NA
"Alaska","Hispanic","Landscape Architects",26875,0,NA,NA
"Arizona","Hispanic","Landscape Architects",1033370,70,6.77395318230643e-05,0.60384890277378
"Arkansas","Hispanic","Landscape Architects",101405,0,NA,NA
"California","Hispanic","Landscape Architects",7470730,550,7.36206501908113e-05,0.65627481682826
"Colorado","Hispanic","Landscape Architects",594525,185,0.000311172784996426,2.77388018098429
"Connecticut","Hispanic","Landscape Architects",288845,NA,NA,NA
"Delaware","Hispanic","Landscape Architects",41365,NA,NA,NA
"District of Columbia","Hispanic","Landscape Architects",44885,0,NA,NA
"Florida","Hispanic","Landscape Architects",2752995,530,0.000192517603555401,1.7161551097698
"Georgia","Hispanic","Landscape Architects",467240,260,0.000556459207259652,4.96043112048346
"Hawaii","Hispanic","Landscape Architects",69470,NA,NA,NA
"Idaho","Hispanic","Landscape Architects",101285,0,NA,NA
"Illinois","Hispanic","Landscape Architects",1100445,110,9.99595618136299e-05,0.891067152347167
"Indiana","Hispanic","Landscape Architects",212120,0,NA,NA
"Iowa","Hispanic","Landscape Architects",90730,0,NA,NA
"Kansas","Hispanic","Landscape Architects",167495,NA,NA,NA
"Kentucky","Hispanic","Landscape Architects",76325,0,NA,NA
"Louisiana","Hispanic","Landscape Architects",113925,NA,NA,NA
"Maine","Hispanic","Landscape Architects",10935,0,NA,NA
"Maryland","Hispanic","Landscape Architects",321570,40,0.000124389712970737,1.1088442696935
"Massachusetts","Hispanic","Landscape Architects",401715,70,0.000174252890730991,1.55333841320175
"Michigan","Hispanic","Landscape Architects",236520,NA,NA,NA
"Minnesota","Hispanic","Landscape Architects",149745,NA,NA,NA
"Mississippi","Hispanic","Landscape Architects",38780,NA,NA,NA
"Missouri","Hispanic","Landscape Architects",121550,NA,NA,NA
"Montana","Hispanic","Landscape Architects",19215,NA,NA,NA
"Nebraska","Hispanic","Landscape Architects",99485,0,NA,NA
"Nevada","Hispanic","Landscape Architects",430565,70,0.000162577078954397,1.44925700105522
"New Hampshire","Hispanic","Landscape Architects",25860,NA,NA,NA
"New Jersey","Hispanic","Landscape Architects",928940,95,0.000102267100135638,0.91163718651116
"New Mexico","Hispanic","Landscape Architects",459615,NA,NA,NA
"New York","Hispanic","Landscape Architects",1819490,300,0.000164881367855828,1.46979806898638
"North Carolina","Hispanic","Landscape Architects",451040,NA,NA,NA
"North Dakota","Hispanic","Landscape Architects",14510,0,NA,NA
"Ohio","Hispanic","Landscape Architects",204545,95,0.000464445476545503,4.14019530195153
"Oklahoma","Hispanic","Landscape Architects",187725,40,0.000213077640165135,1.89943295674704
"Oregon","Hispanic","Landscape Architects",266060,NA,NA,NA
"Pennsylvania","Hispanic","Landscape Architects",423215,NA,NA,NA
